event_number,event_number_niskin,date_time_utc,latitude,longitude,depth,replicate,POC_micromolar,PON_micromolar,POC_microg_perL,PON_microg_perL,C_to_N_molar_ratio,C_quality_flag,N_quality_flag
MVCO_416,MVCO_416_01,2019-05-07 14:30:00,41.325,-70.5657,12,a,18.993,2.581,228.123,36.149,7.359,1,1
MVCO_416,MVCO_416_02,2019-05-07 14:30:00,41.325,-70.5657,10,a,20.297,2.871,243.776,40.209,7.07,1,1
MVCO_416,MVCO_416_03,2019-05-07 14:30:00,41.325,-70.5657,6,a,19.023,2.767,228.474,38.758,6.875,1,1
MVCO_416,MVCO_416_04,2019-05-07 14:30:00,41.325,-70.5657,2,a,16.627,1.945,199.698,27.246,8.548,1,1
MVCO_417,MVCO_417_01,2019-06-10 18:29:00,41.325,-70.5657,12,a,15.364,NaN,184.537,NaN,NaN,1,3
MVCO_417,MVCO_417_02,2019-06-10 18:29:00,41.325,-70.5657,10,a,16.225,NaN,194.879,NaN,NaN,1,3
MVCO_417,MVCO_417_03,2019-06-10 18:29:00,41.325,-70.5657,6,a,14.654,NaN,176.008,NaN,NaN,1,3
MVCO_417,MVCO_417_04,2019-06-10 18:29:00,41.325,-70.5657,2,a,18.448,2.108,221.57,29.527,8.751,1,1
MVCO_418,MVCO_418_01,2019-08-02 18:30:00,41.325,-70.5657,13,a,26.499,3.756,318.268,52.61,7.055,1,1
MVCO_418,MVCO_418_02,2019-08-02 18:30:00,41.325,-70.5657,11,a,31.953,4.095,383.781,57.364,7.802,1,1
MVCO_418,MVCO_418_03,2019-08-02 18:30:00,41.325,-70.5657,5,a,33.305,3.561,400.016,49.876,9.353,1,1
MVCO_418,MVCO_418_04,2019-08-02 18:30:00,41.325,-70.5657,2,a,25.927,2.822,311.395,39.521,9.189,1,1
MVCO_419,MVCO_419_01,2019-09-16 16:00:00,41.325,-70.5657,13,a,55.293,5.016,664.109,70.253,11.024,1,1
MVCO_419,MVCO_419_02,2019-09-16 16:00:00,41.325,-70.5657,10,a,58.645,6.541,704.37,91.619,8.966,1,1
MVCO_419,MVCO_419_03,2019-09-16 16:00:00,41.325,-70.5657,6,a,40.397,3.754,485.194,52.582,10.761,1,1
MVCO_419,MVCO_419_04,2019-09-16 16:00:00,41.325,-70.5657,2,a,37.214,3.132,446.971,43.866,11.883,1,1
MVCO_420,MVCO_420_00,2019-10-25 19:00:00,41.325,-70.5657,0,a,29.875,4.342,358.823,60.82,6.88,1,1
MVCO_421,MVCO_421_00,2019-11-14 18:00:00,41.325,-70.5657,0,a,48.138,5.551,578.176,77.753,8.672,1,1
MVCO_421,MVCO_421_00,2019-11-14 18:00:00,41.325,-70.5657,0,b,49.197,5.671,590.896,79.437,8.675,1,1
MVCO_422,MVCO_422_04,2019-11-21 16:00:00,41.325,-70.5657,2,a,23.259,2.862,279.359,40.094,8.126,1,1
MVCO_422,MVCO_422_01,2019-11-21 16:00:00,41.325,-70.5657,13,a,24.495,3.688,294.207,51.654,6.642,1,1
MVCO_422,MVCO_422_02,2019-11-21 16:00:00,41.325,-70.5657,10,a,20.35,2.781,244.423,38.955,7.317,1,1
MVCO_422,MVCO_422_03,2019-11-21 16:00:00,41.325,-70.5657,6,a,21.563,2.736,258.988,38.322,7.881,1,1
